"Sector","Year","fit","se.fit"
"Combined",2001.84769539078,71.1592549866008,4.7929816002391
"Combined",2001.8877755511,71.1290448398137,4.77716310633109
"Combined",2001.92785571142,71.09883476015,4.76139125722861
"Combined",2001.96793587174,71.0686247485107,4.74566651544523
"Combined",2002.00801603206,71.0384148057963,4.72998934820925
"Combined",2002.04809619238,71.0082049329077,4.71436022749631
"Combined",2002.08817635271,70.9779951307453,4.69877963006118
"Combined",2002.12825651303,70.9477854002099,4.6832480374701
"Combined",2002.16833667335,70.9175757422024,4.66776593613197
"Combined",2002.20841683367,70.887366157623,4.65233381732916
"Combined",2002.24849699399,70.8571566473727,4.63695217724865
"Combined",2002.28857715431,70.8269472123524,4.62162151701195
"Combined",2002.32865731463,70.7967378534623,4.60634234270454
"Combined",2002.36873747495,70.7665285716032,4.5911151654055
