Species,Name Flipped,Habitat
PALETAIL UNICORNFISH,UNICORNFISH PALETAIL,Reef
SLEEK UNICORNFISH,UNICORNFISH SLEEK,Reef
WAHOO,WAHOO,Pelagic
BALDWINS WRASSE,WRASSE BALDWINS,Reef
BIRD WRASSE,WRASSE BIRD,Reef
BLACKTAIL WRASSE,WRASSE BLACKTAIL,Reef
CHRISTMAS WRASSE,WRASSE CHRISTMAS,Reef
DRAGON WRASSE,WRASSE DRAGON,Reef
ORNATE WRASSE,WRASSE ORNATE,Reef
PEARL WRASSE,WRASSE PEARL,Reef
PSYCHEDELIC WRASSE,WRASSE PSYCHEDELIC,Reef
RINGTAIL WRASSE,WRASSE RINGTAIL,Reef
SADDLE WRASSE,WRASSE SADDLE,Reef
SURGE WRASSE,WRASSE SURGE,Reef
