"Year","Species","Pounds","Dollars","Habitat"
1989,"VERTEBRATES, JAWED",2845000,7563027.10282279,"Jawed Vertebrates"
1989,"LOBSTER, CARIBBEAN SPINY",1276000,10512644.7284215,"NWHI"
1989,"SNAPPERS, LUTJANIDAE (FAMILY) **",564000,2579062.64750841,"Deep"
1989,"SHARKS, CHONDRICHTHYES (CLASS) **",220000,220480.211963722,"Pelagic"
1990,"SAILFISH",10000,17857.979145549,"Pelagic"
1990,"TUNAS **",16000,91075.6936422998,"Pelagic"
1990,"SWORDFISH",3518000,14075659.1625217,"Pelagic"
1990,"SNAPPER, RED",553000,4100192.01181805,"Deep"
1990,"TUNA, BIGEYE",3689000,23717182.1032036,"Pelagic"
1990,"BILLFISHES **",2843000,6041354.34493922,"Pelagic"
1990,"CRUSTACEANS **",449000,3451947.36883462,"Reef"
1990,"SPEARFISHES **",144000,364302.774569199,"Pelagic"
1990,"TUNA, ALBACORE",476000,1275059.7109922,"Pelagic"
1990,"TUNA, SKIPJACK",2141000,7761077.73665559,"Pelagic"
1990,"SEA BASS, GIANT",132000,517881.39522092,"Deep"
1990,"TUNA, YELLOWFIN",7880000,35180218.9167315,"Pelagic"
1990,"VERTEBRATES, JAWED",3072000,8657548.28976214,"Jawed Vertebrates"
1990,"LOBSTER, CARIBBEAN SPINY",794000,7839652.844896,"NWHI"
1990,"SNAPPERS, LUTJANIDAE (FAMILY) **",624000,2751914.5863291,"Deep"
1990,"SHARKS, CHONDRICHTHYES (CLASS) **",241000,250011.708037686,"Pelagic"
1991,"SAILFISH",18000,27639.7357839448,"Pelagic"
1991,"TUNAS **",86000,126106.294514248,"Pelagic"
1991,"SWORDFISH",8710000,32350583.2516209,"Pelagic"
1991,"TUNA, BIGEYE",3400000,22025414.452831,"Pelagic"
1991,"BILLFISHES **",3015000,4800676.60897392,"Pelagic"
1991,"CRUSTACEANS **",18000,155473.51378469,"Reef"
1991,"SPEARFISHES **",259000,402503.652353697,"Pelagic"
1991,"TUNA, ALBACORE",699000,1570282.48922537,"Pelagic"
1991,"TUNA, SKIPJACK",2579000,5192815.36040864,"Pelagic"
1991,"SEA BASS, GIANT",119000,659898.691841683,"Deep"
1991,"TUNA, YELLOWFIN",1743000,8281555.83426447,"Pelagic"
1991,"VERTEBRATES, JAWED",5838000,16010316.9528501,"Jawed Vertebrates"
1991,"TUNA, BLUEFIN PACIFIC",5000,60461.9220273794,"Pelagic"
1991,"LOBSTER, CARIBBEAN SPINY",193000,1872592.09936226,"NWHI"
1991,"SNAPPERS, LUTJANIDAE (FAMILY) **",705000,5882081.27152076,"Deep"
1991,"SHARKS, CHONDRICHTHYES (CLASS) **",275000,260850.006460979,"Pelagic"
1992,"CORALS **",2000,67561.5275708175,"Reef"
1992,"SWORDFISH",10883000,53491839.4541948,"Pelagic"
1992,"SNAPPER, RED",143000,1172192.50335368,"Deep"
1992,"TUNA, BIGEYE",3900000,23845841.1561201,"Pelagic"
1992,"BILLFISHES **",2650000,5361007.21274437,"Pelagic"
