"Year","NMFS Name","Pounds","Metric Tons","Dollars","Confidentiality","Collection","Scientific Name","Tsn"
"1986","BILLFISHES **","430,000","195","473,000","Public","Commercial","Istiophoridae","172486"
"1986","CRUSTACEANS **","1,178,000","534","2,536,000","Public","Commercial","Crustacea","83677"
"1986","SPEARFISHES **","20,000","9","38,000","Public","Commercial","Tetrapturus ","172498"
"1986","TUNA, ALBACORE","110,000","50","86,000","Public","Commercial","Thunnus alalunga","172419"
"1986","TUNA, SKIPJACK","2,100,000","953","2,373,000","Public","Commercial","Katsuwonus pelamis","172401"
"1986","SEA BASS, GIANT","201,000","91","342,000","Public","Commercial","Stereolepis gigas","167918"
"1986","TUNA, YELLOWFIN","2,500,000","1,134","3,700,000","Public","Commercial","Thunnus albacares","172423"
"1986","TUNA, LITTLE TUNNY","15,000","7","17,000","Public","Commercial","Euthynnus alletteratus","172402"
"1986","VERTEBRATES, JAWED","1,614,000","732","3,177,000","Public","Commercial","Gnathostomata ","914179"
"1986","LOBSTER, CARIBBEAN SPINY","1,146,000","520","3,701,000","Public","Commercial","Panulirus argus","97648"
"1986","SNAPPERS, LUTJANIDAE (FAMILY) **","657,000","298","1,718,000","Public","Commercial","Lutjanidae","168845"
"1986","SHARKS, CHONDRICHTHYES (CLASS) **","14,000","6","17,000","Public","Commercial","Chondrichthyes","159785"
"1987","CORALS **","12,000","5","62,000","Public","Commercial","Anthozoa","51938"
"1987","SWORDFISH","12,000","5","35,000","Public","Commercial","Xiphias gladius","172482"
"1987","MULLETS **","7,000","3","16,000","Public","Commercial","Mugilidae","170333"
"1987","SNAPPER, RED","419,000","190","1,633,000","Public","Commercial","Lutjanus campechanus","168853"
"1987","TUNA, BIGEYE","1,683,000","763","4,064,000","Public","Commercial","Thunnus obesus","172428"
"1987","BILLFISHES **","635,000","288","550,000","Public","Commercial","Istiophoridae","172486"
"1987","SPEARFISHES **","23,000","10","36,000","Public","Commercial","Tetrapturus ","172498"
"1987","TUNA, ALBACORE","685,000","311","895,000","Public","Commercial","Thunnus alalunga","172419"
"1987","TUNA, SKIPJACK","3,300,000","1,497","3,500,000","Public","Commercial","Katsuwonus pelamis","172401"
"1987","SEA BASS, GIANT","200,000","91","323,000","Public","Commercial","Stereolepis gigas","167918"
"1987","TUNA, YELLOWFIN","5,233,000","2,374","7,480,000","Public","Commercial","Thunnus albacares","172423"
"1987","TUNA, LITTLE TUNNY","8,000","4","8,000","Public","Commercial","Euthynnus alletteratus","172402"
"1987","VERTEBRATES, JAWED","2,069,000","938","3,885,000","Public","Commercial","Gnathostomata ","914179"
"1987","SHRIMPS, PENAEID **","8,000","4","33,000","Public","Commercial","Penaeidae","95602"
"1987","LOBSTER, CARIBBEAN SPINY","528,000","239","2,491,000","Public","Commercial","Panulirus argus","97648"
"1987","CRABS, DECAPODA (ORDER) **","24,000","11","74,000","Public","Commercial","Decapoda","95599"
"1987","SNAPPERS, LUTJANIDAE (FAMILY) **","711,000","323","2,231,000","Public","Commercial","Lutjanidae","168845"
"1987","SHARKS, CHONDRICHTHYES (CLASS) **","9,000","4","10,000","Public","Commercial","Chondrichthyes","159785"
"1988","TUNAS **","5,000","2","4,000","Public","Commercial","Thunnus","172418"
"1988","SWORDFISH","20,000","9","25,000","Public","Commercial","Xiphias gladius","172482"
"1988","MULLETS **","6,000","3","14,000","Public","Commercial","Mugilidae","170333"
"1988","SNAPPER, RED","200,000","91","456,000","Public","Commercial","Lutjanus campechanus","168853"
"1988","TUNA, BIGEYE","3,000,000","1,361","9,990,000","Public","Commercial","Thunnus obesus","172428"
"1988","CRUSTACEANS **","331,000","150","1,108,000","Public","Commercial","Crustacea","83677"
"1988","TUNA, ALBACORE","700,000","318","910,000","Public","Commercial","Thunnus alalunga","172419"
"1988","TUNA, SKIPJACK","5,000,000","2,268","5,650,000","Public","Commercial","Katsuwonus pelamis","172401"
