Year,State,NMFS Name,Spatial,Pounds,Dollars,Collection,Confidentiality
2016,HAWAII,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **",Reef,"21,765","21,983",Commercial,Public
2016,HAWAII,BLACK MARLIN,Pelagic,"18,449","30,667",Commercial,Public
2016,HAWAII,"CRABS, DECAPODA (ORDER) **",Reef,"7,389","48,390",Commercial,Public
2016,HAWAII,DOLPHINFISH ,Reef,"1,193,387","4,511,726",Commercial,Public
2016,HAWAII,EELS **,Pelagic,463,595,Commercial,Public
2016,HAWAII,EMPERORS **,Reef,"2,882","12,156",Commercial,Public
2016,HAWAII,ESCOLAR ,Pelagic,"4,746","9,024",Commercial,Public
2016,HAWAII,GOATFISHES **,Reef,"53,794","226,337",Commercial,Public
2016,HAWAII,"GROUPERS, SERRANIDAE (FAMILY) **",Reef,"11,535","62,796",Commercial,Public
2016,HAWAII,JACKS **,Reef,"17,679","67,246",Commercial,Public
2016,HAWAII,"JOBFISH, GREEN /UKU ",Reef,"113,651","563,929",Commercial,Public
2016,HAWAII,"LEATHERSKIN, LARGEMOUTHED ",Reef,146,349,Commercial,Public
2016,HAWAII,LIMPETS **,Reef,"8,807","62,177",Commercial,Public
2016,HAWAII,"LOBSTER, BANDED SPINY ",Reef,"3,191","27,430",Commercial,Public
2016,HAWAII,"LOBSTERS, SLIPPER **",Reef,138,"1,070",Commercial,Public
2016,HAWAII,"MARLIN, BLUE ",Pelagic,"1,301,749","2,097,267",Commercial,Public
2016,HAWAII,MILKFISH ,Reef,"1,672","2,420",Commercial,Public
2016,HAWAII,"MULLET, STRIPED ",Reef,"4,942","23,417",Commercial,Public
2016,HAWAII,MULLETS **,Reef,864,"3,049",Commercial,Public
2016,HAWAII,OCTOPUSES **,Reef,"27,865","131,906",Commercial,Public
2016,HAWAII,OILFISH ,Pelagic,"439,932","252,729",Commercial,Public
2016,HAWAII,PARROTFISHES **,Reef,"43,127","199,222",Commercial,Public
2016,HAWAII,POMFRETS **,Reef,"1,166,128","3,501,913",Commercial,Public
2016,HAWAII,RUDDERFISH **,Reef,"13,512","25,365",Commercial,Public
2016,HAWAII,"RUNNER, RAINBOW ",Reef,"4,204","10,987",Commercial,Public
2016,HAWAII,SAILFISH ,Pelagic,"37,095","42,534",Commercial,Public
2016,HAWAII,"SCAD, BIGEYE ",Reef,"285,838","926,559",Commercial,Public
2016,HAWAII,"SCAD, MACKEREL ",Reef,"82,157","246,669",Commercial,Public
2016,HAWAII,SCORPIONFISHES **,Reef,"2,070","13,345",Commercial,Public
2016,HAWAII,SEAWEED,Reef,"7,868","95,762",Commercial,Public
2016,HAWAII,"SHARKS, MAKO **",Pelagic,"113,307","81,245",Commercial,Public
2016,HAWAII,"SHARKS, THRESHER **",Pelagic,"3,894","1,449",Commercial,Public
2016,HAWAII,"SHRIMP, MARINE **",Reef,"3,715","27,495",Commercial,Public
2016,HAWAII,"SNAPPER, GLASSEYE ",Reef,"7,093","29,723",Commercial,Public
