"Year","Species","RCatch","Group","Habitat"
2015,"LEATHERBACK",17964,"LEATHERBACK TURTLE","All Species"
2016,"LEATHERBACK",6853,"LEATHERBACK TURTLE","All Species"
2017,"LEATHERBACK",3563,"LEATHERBACK TURTLE","All Species"
2018,"LEATHERBACK",17632,"LEATHERBACK TURTLE","All Species"
2019,"LEATHERBACK",24684,"LEATHERBACK TURTLE","All Species"
2020,"LEATHERBACK",6830,"LEATHERBACK TURTLE","All Species"
2005,"LEFTEYE FLOUNDER FAMILY",0,"FLOUNDERS","All Species"
2010,"LEFTEYE FLOUNDER FAMILY",0,"FLOUNDERS","All Species"
2014,"LEFTEYE FLOUNDER FAMILY",613,"FLOUNDERS","All Species"
2015,"LEFTEYE FLOUNDER FAMILY",0,"FLOUNDERS","All Species"
2016,"LEFTEYE FLOUNDER FAMILY",0,"FLOUNDERS","All Species"
2018,"LEFTEYE FLOUNDER FAMILY",0,"FLOUNDERS","All Species"
2019,"LEFTEYE FLOUNDER FAMILY",0,"FLOUNDERS","All Species"
2020,"LEFTEYE FLOUNDER FAMILY",0,"FLOUNDERS","All Species"
2004,"LEI TRIGGERFISH",1155,"TRIGGERFISHES","All Species"
2010,"LEI TRIGGERFISH",182,"TRIGGERFISHES","All Species"
2003,"LIZARDFISH FAMILY",0,"LIZARDFISHES","All Species"
2004,"LIZARDFISH FAMILY",0,"LIZARDFISHES","All Species"
2005,"LIZARDFISH FAMILY",0,"LIZARDFISHES","All Species"
2006,"LIZARDFISH FAMILY",0,"LIZARDFISHES","All Species"
2007,"LIZARDFISH FAMILY",0,"LIZARDFISHES","All Species"
2008,"LIZARDFISH FAMILY",0,"LIZARDFISHES","All Species"
2009,"LIZARDFISH FAMILY",0,"LIZARDFISHES","All Species"
2010,"LIZARDFISH FAMILY",349,"LIZARDFISHES","All Species"
2011,"LIZARDFISH FAMILY",0,"LIZARDFISHES","All Species"
2012,"LIZARDFISH FAMILY",0,"LIZARDFISHES","All Species"
2013,"LIZARDFISH FAMILY",0,"LIZARDFISHES","All Species"
2014,"LIZARDFISH FAMILY",0,"LIZARDFISHES","All Species"
2015,"LIZARDFISH FAMILY",0,"LIZARDFISHES","All Species"
2016,"LIZARDFISH FAMILY",1215,"LIZARDFISHES","All Species"
2017,"LIZARDFISH FAMILY",0,"LIZARDFISHES","All Species"
2018,"LIZARDFISH FAMILY",0,"LIZARDFISHES","All Species"
2019,"LIZARDFISH FAMILY",0,"LIZARDFISHES","All Species"
2020,"LIZARDFISH FAMILY",0,"LIZARDFISHES","All Species"
2007,"LONGNOSE BUTTERFLYFISH",330,"BUTTERFLYFISHES","All Species"
2003,"LONGTAILED RED SNAPPER",13878,"SNAPPERS","All Species"
2004,"LONGTAILED RED SNAPPER",13845,"SNAPPERS","All Species"
2005,"LONGTAILED RED SNAPPER",18263,"SNAPPERS","All Species"
2006,"LONGTAILED RED SNAPPER",29913,"SNAPPERS","All Species"
2007,"LONGTAILED RED SNAPPER",7482,"SNAPPERS","All Species"
2008,"LONGTAILED RED SNAPPER",7984,"SNAPPERS","All Species"
2009,"LONGTAILED RED SNAPPER",4359,"SNAPPERS","All Species"
2010,"LONGTAILED RED SNAPPER",19992,"SNAPPERS","All Species"
2011,"LONGTAILED RED SNAPPER",7607,"SNAPPERS","All Species"
2012,"LONGTAILED RED SNAPPER",18519,"SNAPPERS","All Species"
2013,"LONGTAILED RED SNAPPER",14327,"SNAPPERS","All Species"
2014,"LONGTAILED RED SNAPPER",17909,"SNAPPERS","All Species"
2015,"LONGTAILED RED SNAPPER",9917,"SNAPPERS","All Species"
2016,"LONGTAILED RED SNAPPER",5515,"SNAPPERS","All Species"
2017,"LONGTAILED RED SNAPPER",1302,"SNAPPERS","All Species"
2018,"LONGTAILED RED SNAPPER",26473,"SNAPPERS","All Species"
2019,"LONGTAILED RED SNAPPER",1513,"SNAPPERS","All Species"
2020,"LONGTAILED RED SNAPPER",6275,"SNAPPERS","All Species"
2003,"LOWFIN CHUB",7591,"CHUBS","All Species"
2004,"LOWFIN CHUB",15926,"CHUBS","All Species"
2005,"LOWFIN CHUB",580,"CHUBS","All Species"
2006,"LOWFIN CHUB",459,"CHUBS","All Species"
2007,"LOWFIN CHUB",3980,"CHUBS","All Species"
2008,"LOWFIN CHUB",5657,"CHUBS","All Species"
2009,"LOWFIN CHUB",5640,"CHUBS","All Species"
2010,"LOWFIN CHUB",7588,"CHUBS","All Species"
2011,"LOWFIN CHUB",1946,"CHUBS","All Species"
2013,"LOWFIN CHUB",3636,"CHUBS","All Species"
2014,"LOWFIN CHUB",3675,"CHUBS","All Species"
2017,"LOWFIN CHUB",729,"CHUBS","All Species"
2018,"LOWFIN CHUB",25716,"CHUBS","All Species"
2003,"MACKEREL FAMILY",5153,"MACKERELS","All Species"
2012,"MACKEREL FAMILY",448,"MACKERELS","All Species"
2013,"MACKEREL FAMILY",41451,"MACKERELS","All Species"
2014,"MACKEREL FAMILY",13986,"MACKERELS","All Species"
2015,"MACKEREL FAMILY",18633,"MACKERELS","All Species"
2016,"MACKEREL FAMILY",535,"MACKERELS","All Species"
2017,"MACKEREL FAMILY",133,"MACKERELS","All Species"
2019,"MACKEREL FAMILY",3405,"MACKERELS","All Species"
2020,"MACKEREL FAMILY",11382,"MACKERELS","All Species"
2003,"MACKEREL SCAD",1360220,"SCADS","All Species"
2004,"MACKEREL SCAD",93485,"SCADS","All Species"
2005,"MACKEREL SCAD",43665,"SCADS","All Species"
2006,"MACKEREL SCAD",224541,"SCADS","All Species"
2007,"MACKEREL SCAD",67055,"SCADS","All Species"
2008,"MACKEREL SCAD",49059,"SCADS","All Species"
2009,"MACKEREL SCAD",381869,"SCADS","All Species"
2010,"MACKEREL SCAD",164598,"SCADS","All Species"
2011,"MACKEREL SCAD",6462,"SCADS","All Species"
2012,"MACKEREL SCAD",260276,"SCADS","All Species"
2013,"MACKEREL SCAD",79117,"SCADS","All Species"
2014,"MACKEREL SCAD",166886,"SCADS","All Species"
2015,"MACKEREL SCAD",209361,"SCADS","All Species"
2016,"MACKEREL SCAD",147523,"SCADS","All Species"
2017,"MACKEREL SCAD",107865,"SCADS","All Species"
2018,"MACKEREL SCAD",404650,"SCADS","All Species"
2019,"MACKEREL SCAD",793390,"SCADS","All Species"
2020,"MACKEREL SCAD",462733,"SCADS","All Species"
2003,"MANYBAR GOATFISH",38582,"GOATFISHES","All Species"
2004,"MANYBAR GOATFISH",53704,"GOATFISHES","All Species"
2005,"MANYBAR GOATFISH",34903,"GOATFISHES","All Species"
2006,"MANYBAR GOATFISH",42787,"GOATFISHES","All Species"
2007,"MANYBAR GOATFISH",40466,"GOATFISHES","All Species"
2008,"MANYBAR GOATFISH",28179,"GOATFISHES","All Species"
2009,"MANYBAR GOATFISH",31799,"GOATFISHES","All Species"
2010,"MANYBAR GOATFISH",45457,"GOATFISHES","All Species"
2011,"MANYBAR GOATFISH",15160,"GOATFISHES","All Species"
2012,"MANYBAR GOATFISH",40263,"GOATFISHES","All Species"
2013,"MANYBAR GOATFISH",23216,"GOATFISHES","All Species"
2014,"MANYBAR GOATFISH",42302,"GOATFISHES","All Species"
2015,"MANYBAR GOATFISH",25381,"GOATFISHES","All Species"
2016,"MANYBAR GOATFISH",15322,"GOATFISHES","All Species"
2017,"MANYBAR GOATFISH",14052,"GOATFISHES","All Species"
2018,"MANYBAR GOATFISH",57239,"GOATFISHES","All Species"
2019,"MANYBAR GOATFISH",28509,"GOATFISHES","All Species"
2020,"MANYBAR GOATFISH",44660,"GOATFISHES","All Species"
2004,"MILKFISH",4229,"MILKFISH","All Species"
2006,"MILKFISH",2339,"MILKFISH","All Species"
2008,"MILKFISH",46289,"MILKFISH","All Species"
2009,"MILKFISH",1715,"MILKFISH","All Species"
2010,"MILKFISH",516,"MILKFISH","All Species"
2011,"MILKFISH",264,"MILKFISH","All Species"
2012,"MILKFISH",979,"MILKFISH","All Species"
2015,"MILKFISH",779,"MILKFISH","All Species"
2016,"MILKFISH",1604,"MILKFISH","All Species"
2017,"MILKFISH",1298,"MILKFISH","All Species"
2018,"MILKFISH",17118,"MILKFISH","All Species"
2019,"MILKFISH",6653,"MILKFISH","All Species"
2020,"MILKFISH",2752,"MILKFISH","All Species"
2017,"MOORISH IDOL",0,"MOORISH IDOL","All Species"
2020,"MOORISH IDOL",0,"MOORISH IDOL","All Species"
2003,"MORAY FAMILY",7753,"MORAYS","All Species"
2004,"MORAY FAMILY",4143,"MORAYS","All Species"
2005,"MORAY FAMILY",7975,"MORAYS","All Species"
2006,"MORAY FAMILY",4679,"MORAYS","All Species"
2007,"MORAY FAMILY",679,"MORAYS","All Species"
2008,"MORAY FAMILY",1046,"MORAYS","All Species"
2009,"MORAY FAMILY",818,"MORAYS","All Species"
2010,"MORAY FAMILY",3821,"MORAYS","All Species"
2011,"MORAY FAMILY",0,"MORAYS","All Species"
2012,"MORAY FAMILY",4030,"MORAYS","All Species"
2013,"MORAY FAMILY",5112,"MORAYS","All Species"
2014,"MORAY FAMILY",2203,"MORAYS","All Species"
2015,"MORAY FAMILY",3434,"MORAYS","All Species"
2016,"MORAY FAMILY",4242,"MORAYS","All Species"
2017,"MORAY FAMILY",4229,"MORAYS","All Species"
2018,"MORAY FAMILY",10310,"MORAYS","All Species"
2019,"MORAY FAMILY",8153,"MORAYS","All Species"
2020,"MORAY FAMILY",4400,"MORAYS","All Species"
2003,"MULLET FAMILY",7558,"MULLETS","All Species"
2004,"MULLET FAMILY",6932,"MULLETS","All Species"
2006,"MULLET FAMILY",1144,"MULLETS","All Species"
2013,"MULLET FAMILY",2105,"MULLETS","All Species"
2014,"MULLET FAMILY",917,"MULLETS","All Species"
2015,"MULLET FAMILY",0,"MULLETS","All Species"
2020,"MULLETS",0,"MULLETS","All Species"
2003,"MUSTACHE CONGER EEL",2040,"EELS","All Species"
2006,"MUSTACHE CONGER EEL",1170,"EELS","All Species"
2007,"MUSTACHE CONGER EEL",254,"EELS","All Species"
2008,"MUSTACHE CONGER EEL",913,"EELS","All Species"
2009,"MUSTACHE CONGER EEL",1270,"EELS","All Species"
2010,"MUSTACHE CONGER EEL",549,"EELS","All Species"
2011,"MUSTACHE CONGER EEL",158,"EELS","All Species"
2012,"MUSTACHE CONGER EEL",1895,"EELS","All Species"
2013,"MUSTACHE CONGER EEL",1979,"EELS","All Species"
2014,"MUSTACHE CONGER EEL",2924,"EELS","All Species"
2015,"MUSTACHE CONGER EEL",122,"EELS","All Species"
2017,"MUSTACHE CONGER EEL",1300,"EELS","All Species"
2020,"MUSTACHE CONGER EEL",4201,"EELS","All Species"
2005,"NEEDLE-TOOTH MORAY",0,"MORAYS","All Species"
2008,"NEEDLE-TOOTH MORAY",2239,"MORAYS","All Species"
2017,"NEEDLEFISH",0,"NEEDLEFISHES","All Species"
2018,"NEEDLEFISH",11754,"NEEDLEFISHES","All Species"
2019,"NEEDLEFISH",2615,"NEEDLEFISHES","All Species"
2020,"NEEDLEFISH",7156,"NEEDLEFISHES","All Species"
2003,"NEEDLEFISH FAMILY",6767,"NEEDLEFISHES","All Species"
2004,"NEEDLEFISH FAMILY",3660,"NEEDLEFISHES","All Species"
2005,"NEEDLEFISH FAMILY",1004,"NEEDLEFISHES","All Species"
2006,"NEEDLEFISH FAMILY",0,"NEEDLEFISHES","All Species"
2007,"NEEDLEFISH FAMILY",642,"NEEDLEFISHES","All Species"
2008,"NEEDLEFISH FAMILY",0,"NEEDLEFISHES","All Species"
2009,"NEEDLEFISH FAMILY",0,"NEEDLEFISHES","All Species"
2010,"NEEDLEFISH FAMILY",5157,"NEEDLEFISHES","All Species"
2011,"NEEDLEFISH FAMILY",1783,"NEEDLEFISHES","All Species"
2012,"NEEDLEFISH FAMILY",1163,"NEEDLEFISHES","All Species"
2013,"NEEDLEFISH FAMILY",0,"NEEDLEFISHES","All Species"
2014,"NEEDLEFISH FAMILY",0,"NEEDLEFISHES","All Species"
2015,"NEEDLEFISH FAMILY",266,"NEEDLEFISHES","All Species"
2016,"NEEDLEFISH FAMILY",0,"NEEDLEFISHES","All Species"
2006,"OILFISH",643,"OILFISH","All Species"
2007,"OILFISH",344,"OILFISH","All Species"
2008,"OILFISH",785,"OILFISH","All Species"
2003,"ORANGEBAND SURGEONFISH",2426,"SURGEONFISHES","All Species"
2004,"ORANGEBAND SURGEONFISH",1036,"SURGEONFISHES","All Species"
2005,"ORANGEBAND SURGEONFISH",1036,"SURGEONFISHES","All Species"
2006,"ORANGEBAND SURGEONFISH",2802,"SURGEONFISHES","All Species"
2010,"ORANGEBAND SURGEONFISH",9991,"SURGEONFISHES","All Species"
2012,"ORANGEBAND SURGEONFISH",7928,"SURGEONFISHES","All Species"
2013,"ORANGEBAND SURGEONFISH",4606,"SURGEONFISHES","All Species"
2014,"ORANGEBAND SURGEONFISH",591,"SURGEONFISHES","All Species"
2018,"ORANGEBAND SURGEONFISH",14146,"SURGEONFISHES","All Species"
2003,"ORANGESPINE UNICORNFISH",9064,"UNICORNFISHES","All Species"
2004,"ORANGESPINE UNICORNFISH",12798,"UNICORNFISHES","All Species"
2006,"ORANGESPINE UNICORNFISH",3858,"UNICORNFISHES","All Species"
2008,"ORANGESPINE UNICORNFISH",5362,"UNICORNFISHES","All Species"
2010,"ORANGESPINE UNICORNFISH",1609,"UNICORNFISHES","All Species"
2012,"ORANGESPINE UNICORNFISH",396,"UNICORNFISHES","All Species"
2013,"ORANGESPINE UNICORNFISH",1078,"UNICORNFISHES","All Species"
2014,"ORANGESPINE UNICORNFISH",2403,"UNICORNFISHES","All Species"
2015,"ORANGESPINE UNICORNFISH",6480,"UNICORNFISHES","All Species"
2016,"ORANGESPINE UNICORNFISH",3475,"UNICORNFISHES","All Species"
2017,"ORANGESPINE UNICORNFISH",1843,"UNICORNFISHES","All Species"
2018,"ORANGESPINE UNICORNFISH",6556,"UNICORNFISHES","All Species"
2019,"ORANGESPINE UNICORNFISH",82404,"UNICORNFISHES","All Species"
2020,"ORANGESPINE UNICORNFISH",18747,"UNICORNFISHES","All Species"
2005,"ORNATE WRASSE",6356,"WRASSES","All Species"
2006,"ORNATE WRASSE",1401,"WRASSES","All Species"
2006,"PALENOSE PARROTFISH",286,"PARROTFISHES","All Species"
2007,"PALENOSE PARROTFISH",2486,"PARROTFISHES","All Species"
2008,"PALENOSE PARROTFISH",6521,"PARROTFISHES","All Species"
2009,"PALENOSE PARROTFISH",213,"PARROTFISHES","All Species"
2010,"PALENOSE PARROTFISH",1796,"PARROTFISHES","All Species"
2012,"PALENOSE PARROTFISH",1264,"PARROTFISHES","All Species"
2013,"PALENOSE PARROTFISH",2942,"PARROTFISHES","All Species"
2014,"PALENOSE PARROTFISH",3095,"PARROTFISHES","All Species"
2015,"PALENOSE PARROTFISH",917,"PARROTFISHES","All Species"
2016,"PALENOSE PARROTFISH",808,"PARROTFISHES","All Species"
2019,"PALENOSE PARROTFISH",2146,"PARROTFISHES","All Species"
2011,"PALETAIL UNICORNFISH",180316,"UNICORNFISHES","All Species"
2003,"PARROTFISH FAMILY",32920,"PARROTFISHES","All Species"
2004,"PARROTFISH FAMILY",18358,"PARROTFISHES","All Species"
2005,"PARROTFISH FAMILY",12137,"PARROTFISHES","All Species"
2006,"PARROTFISH FAMILY",2999,"PARROTFISHES","All Species"
2007,"PARROTFISH FAMILY",18475,"PARROTFISHES","All Species"
2008,"PARROTFISH FAMILY",7752,"PARROTFISHES","All Species"
2009,"PARROTFISH FAMILY",4146,"PARROTFISHES","All Species"
2010,"PARROTFISH FAMILY",3081,"PARROTFISHES","All Species"
2011,"PARROTFISH FAMILY",545,"PARROTFISHES","All Species"
2012,"PARROTFISH FAMILY",1306,"PARROTFISHES","All Species"
2013,"PARROTFISH FAMILY",13413,"PARROTFISHES","All Species"
2014,"PARROTFISH FAMILY",3999,"PARROTFISHES","All Species"
2015,"PARROTFISH FAMILY",793,"PARROTFISHES","All Species"
2016,"PARROTFISH FAMILY",157,"PARROTFISHES","All Species"
2017,"PARROTFISH FAMILY",0,"PARROTFISHES","All Species"
2019,"PARROTFISH FAMILY",1587,"PARROTFISHES","All Species"
2020,"PARROTFISH FAMILY",3451,"PARROTFISHES","All Species"
2003,"PEACOCK GROUPER",7874,"GROUPERS","All Species"
2005,"PEACOCK GROUPER",6989,"GROUPERS","All Species"
2006,"PEACOCK GROUPER",3729,"GROUPERS","All Species"
2007,"PEACOCK GROUPER",1349,"GROUPERS","All Species"
2008,"PEACOCK GROUPER",20120,"GROUPERS","All Species"
2009,"PEACOCK GROUPER",0,"GROUPERS","All Species"
2010,"PEACOCK GROUPER",557,"GROUPERS","All Species"
2011,"PEACOCK GROUPER",4658,"GROUPERS","All Species"
2012,"PEACOCK GROUPER",8377,"GROUPERS","All Species"
2013,"PEACOCK GROUPER",7823,"GROUPERS","All Species"
2014,"PEACOCK GROUPER",13302,"GROUPERS","All Species"
2015,"PEACOCK GROUPER",2396,"GROUPERS","All Species"
2016,"PEACOCK GROUPER",9251,"GROUPERS","All Species"
2017,"PEACOCK GROUPER",3211,"GROUPERS","All Species"
2018,"PEACOCK GROUPER",16583,"GROUPERS","All Species"
2019,"PEACOCK GROUPER",7246,"GROUPERS","All Species"
2020,"PEACOCK GROUPER",11809,"GROUPERS","All Species"
2003,"PEACOCK RAZORFISH",60959,"RAZORFISHES","All Species"
2004,"PEACOCK RAZORFISH",201828,"RAZORFISHES","All Species"
2005,"PEACOCK RAZORFISH",93834,"RAZORFISHES","All Species"
2006,"PEACOCK RAZORFISH",87713,"RAZORFISHES","All Species"
2007,"PEACOCK RAZORFISH",31872,"RAZORFISHES","All Species"
2008,"PEACOCK RAZORFISH",37571,"RAZORFISHES","All Species"
2009,"PEACOCK RAZORFISH",61192,"RAZORFISHES","All Species"
2010,"PEACOCK RAZORFISH",36538,"RAZORFISHES","All Species"
2011,"PEACOCK RAZORFISH",9654,"RAZORFISHES","All Species"
2012,"PEACOCK RAZORFISH",90750,"RAZORFISHES","All Species"
2013,"PEACOCK RAZORFISH",58476,"RAZORFISHES","All Species"
2014,"PEACOCK RAZORFISH",29409,"RAZORFISHES","All Species"
2015,"PEACOCK RAZORFISH",34991,"RAZORFISHES","All Species"
2016,"PEACOCK RAZORFISH",26159,"RAZORFISHES","All Species"
2017,"PEACOCK RAZORFISH",37315,"RAZORFISHES","All Species"
2018,"PEACOCK RAZORFISH",70768,"RAZORFISHES","All Species"
2019,"PEACOCK RAZORFISH",98500,"RAZORFISHES","All Species"
2020,"PEACOCK RAZORFISH",57186,"RAZORFISHES","All Species"
2004,"PEARL WRASSE",4802,"WRASSES","All Species"
2003,"PFLUGERS GOATFISH",19219,"GOATFISHES","All Species"
2004,"PFLUGERS GOATFISH",45237,"GOATFISHES","All Species"
2005,"PFLUGERS GOATFISH",580,"GOATFISHES","All Species"
2006,"PFLUGERS GOATFISH",1728,"GOATFISHES","All Species"
2007,"PFLUGERS GOATFISH",4583,"GOATFISHES","All Species"
2009,"PFLUGERS GOATFISH",1126,"GOATFISHES","All Species"
2010,"PFLUGERS GOATFISH",8261,"GOATFISHES","All Species"
2011,"PFLUGERS GOATFISH",2936,"GOATFISHES","All Species"
2012,"PFLUGERS GOATFISH",2213,"GOATFISHES","All Species"
2013,"PFLUGERS GOATFISH",1341,"GOATFISHES","All Species"
2014,"PFLUGERS GOATFISH",7716,"GOATFISHES","All Species"
2015,"PFLUGERS GOATFISH",3428,"GOATFISHES","All Species"
2016,"PFLUGERS GOATFISH",3521,"GOATFISHES","All Species"
2017,"PFLUGERS GOATFISH",4547,"GOATFISHES","All Species"
2018,"PFLUGERS GOATFISH",15211,"GOATFISHES","All Species"
2019,"PFLUGERS GOATFISH",9252,"GOATFISHES","All Species"
2020,"PFLUGERS GOATFISH",3354,"GOATFISHES","All Species"
2003,"PINK SNAPPER",44787,"SNAPPERS","All Species"
2004,"PINK SNAPPER",83909,"SNAPPERS","All Species"
2005,"PINK SNAPPER",24247,"SNAPPERS","All Species"
2006,"PINK SNAPPER",27653,"SNAPPERS","All Species"
2007,"PINK SNAPPER",16845,"SNAPPERS","All Species"
2008,"PINK SNAPPER",42544,"SNAPPERS","All Species"
2009,"PINK SNAPPER",34464,"SNAPPERS","All Species"
2010,"PINK SNAPPER",115003,"SNAPPERS","All Species"
2011,"PINK SNAPPER",25380,"SNAPPERS","All Species"
2012,"PINK SNAPPER",46702,"SNAPPERS","All Species"
2013,"PINK SNAPPER",45120,"SNAPPERS","All Species"
2014,"PINK SNAPPER",41332,"SNAPPERS","All Species"
2015,"PINK SNAPPER",22924,"SNAPPERS","All Species"
2016,"PINK SNAPPER",17082,"SNAPPERS","All Species"
2017,"PINK SNAPPER",9739,"SNAPPERS","All Species"
2018,"PINK SNAPPER",56140,"SNAPPERS","All Species"
2019,"PINK SNAPPER",62815,"SNAPPERS","All Species"
2020,"PINK SNAPPER",16486,"SNAPPERS","All Species"
2005,"PINKTAIL DURGON",0,"TRIGGERFISHES","All Species"
2009,"PINKTAIL DURGON",0,"TRIGGERFISHES","All Species"
2010,"PINKTAIL DURGON",182,"TRIGGERFISHES","All Species"
2013,"PINKTAIL DURGON",152,"TRIGGERFISHES","All Species"
2015,"PINKTAIL DURGON",360,"TRIGGERFISHES","All Species"
2016,"PINKTAIL DURGON",1213,"TRIGGERFISHES","All Species"
2017,"PINKTAIL DURGON",628,"TRIGGERFISHES","All Species"
2018,"PINKTAIL DURGON",2848,"TRIGGERFISHES","All Species"
2019,"PINKTAIL DURGON",2343,"TRIGGERFISHES","All Species"
2020,"PINKTAIL DURGON",1747,"TRIGGERFISHES","All Species"
2011,"POLYNESIAN HALFBEAK",10213,"HALFBEAKS","All Species"
2016,"POLYNESIAN HALFBEAK",4374,"HALFBEAKS","All Species"
2018,"POLYNESIAN HALFBEAK",1704,"HALFBEAKS","All Species"
2019,"POLYNESIAN HALFBEAK",30483,"HALFBEAKS","All Species"
2020,"POLYNESIAN HALFBEAK",48971,"HALFBEAKS","All Species"
2010,"POMFRET FAMILY",537,"POMFRETS","All Species"
2011,"POMFRET FAMILY",678,"POMFRETS","All Species"
2016,"POMFRET FAMILY",337,"POMFRETS","All Species"
2017,"POMFRETS",650,"POMFRETS","All Species"
2018,"POMFRETS",3737,"POMFRETS","All Species"
2020,"POMPANO DOLPHIN",525,"DOLPHINS","All Species"
2010,"PORCUPINEFISH",0,"PORCUPINEFISHES","All Species"
2014,"PORCUPINEFISH",613,"PORCUPINEFISHES","All Species"
2015,"PORCUPINEFISH",0,"PORCUPINEFISHES","All Species"
2019,"PORCUPINEFISH",0,"PORCUPINEFISHES","All Species"
2020,"PORCUPINEFISH",0,"PORCUPINEFISHES","All Species"
2006,"PORCUPINEFISH FAMILY",0,"PORCUPINEFISHES","All Species"
2010,"PORCUPINEFISH FAMILY",0,"PORCUPINEFISHES","All Species"
2011,"PORCUPINEFISH FAMILY",0,"PORCUPINEFISHES","All Species"
2012,"PORCUPINEFISH FAMILY",1050,"PORCUPINEFISHES","All Species"
2014,"PORCUPINEFISH FAMILY",0,"PORCUPINEFISHES","All Species"
2016,"PORCUPINEFISH FAMILY",0,"PORCUPINEFISHES","All Species"
2020,"PORCUPINEFISH FAMILY",0,"PORCUPINEFISHES","All Species"
2003,"PSYCHEDELIC WRASSE",8828,"WRASSES","All Species"
2004,"PSYCHEDELIC WRASSE",9604,"WRASSES","All Species"
2005,"PSYCHEDELIC WRASSE",3818,"WRASSES","All Species"
2006,"PSYCHEDELIC WRASSE",0,"WRASSES","All Species"
2007,"PSYCHEDELIC WRASSE",0,"WRASSES","All Species"
2008,"PSYCHEDELIC WRASSE",2239,"WRASSES","All Species"
2009,"PSYCHEDELIC WRASSE",0,"WRASSES","All Species"
2014,"PSYCHEDELIC WRASSE",573,"WRASSES","All Species"
2017,"PSYCHEDELIC WRASSE",585,"WRASSES","All Species"
2003,"PUFFER FAMILY",0,"PUFFERS","All Species"
2004,"PUFFER FAMILY",0,"PUFFERS","All Species"
2005,"PUFFER FAMILY",0,"PUFFERS","All Species"
2006,"PUFFER FAMILY",0,"PUFFERS","All Species"
2007,"PUFFER FAMILY",0,"PUFFERS","All Species"
2008,"PUFFER FAMILY",0,"PUFFERS","All Species"
2009,"PUFFER FAMILY",0,"PUFFERS","All Species"
2010,"PUFFER FAMILY",0,"PUFFERS","All Species"
2012,"PUFFER FAMILY",0,"PUFFERS","All Species"
2013,"PUFFER FAMILY",0,"PUFFERS","All Species"
2014,"PUFFER FAMILY",0,"PUFFERS","All Species"
2015,"PUFFER FAMILY",0,"PUFFERS","All Species"
2016,"PUFFER FAMILY",0,"PUFFERS","All Species"
2017,"PUFFERS",0,"PUFFERS","All Species"
2018,"PUFFERS",0,"PUFFERS","All Species"
2019,"PUFFERS",0,"PUFFERS","All Species"
2020,"PUFFERS",0,"PUFFERS","All Species"
2008,"RACOON BUTTERFLYFISH",882,"BUTTERFLYFISHES","All Species"
2009,"RACOON BUTTERFLYFISH",1962,"BUTTERFLYFISHES","All Species"
2017,"RACOON BUTTERFLYFISH",0,"BUTTERFLYFISHES","All Species"
2020,"RACOON BUTTERFLYFISH",0,"BUTTERFLYFISHES","All Species"
2003,"RAINBOW RUNNER",4071,"JACKS","All Species"
2004,"RAINBOW RUNNER",6612,"JACKS","All Species"
2005,"RAINBOW RUNNER",12463,"JACKS","All Species"
2006,"RAINBOW RUNNER",630,"JACKS","All Species"
2007,"RAINBOW RUNNER",2213,"JACKS","All Species"
2009,"RAINBOW RUNNER",1581,"JACKS","All Species"
2012,"RAINBOW RUNNER",2762,"JACKS","All Species"
2013,"RAINBOW RUNNER",2348,"JACKS","All Species"
2014,"RAINBOW RUNNER",521,"JACKS","All Species"
2015,"RAINBOW RUNNER",1270,"JACKS","All Species"
2016,"RAINBOW RUNNER",2439,"JACKS","All Species"
2017,"RAINBOW RUNNER",3518,"JACKS","All Species"
2018,"RAINBOW RUNNER",6928,"JACKS","All Species"
2019,"RAINBOW RUNNER",12523,"JACKS","All Species"
2020,"RAINBOW RUNNER",11742,"JACKS","All Species"
2003,"RAZORFISH GENUS",111771,"RAZORFISHES","All Species"
2004,"RAZORFISH GENUS",106537,"RAZORFISHES","All Species"
2005,"RAZORFISH GENUS",65670,"RAZORFISHES","All Species"
2006,"RAZORFISH GENUS",33799,"RAZORFISHES","All Species"
2007,"RAZORFISH GENUS",10382,"RAZORFISHES","All Species"
2008,"RAZORFISH GENUS",785,"RAZORFISHES","All Species"
2010,"RAZORFISH GENUS",2703,"RAZORFISHES","All Species"
2011,"RAZORFISH GENUS",407,"RAZORFISHES","All Species"
2013,"RAZORFISH GENUS",1312,"RAZORFISHES","All Species"
2018,"RAZORFISH GENUS",16927,"RAZORFISHES","All Species"
2019,"RAZORFISH GENUS",39428,"RAZORFISHES","All Species"
2020,"RAZORFISH GENUS",11847,"RAZORFISHES","All Species"
2003,"REDLIP PARROTFISH",2426,"PARROTFISHES","All Species"
2005,"REDLIP PARROTFISH",526,"PARROTFISHES","All Species"
2006,"REDLIP PARROTFISH",3626,"PARROTFISHES","All Species"
2007,"REDLIP PARROTFISH",254,"PARROTFISHES","All Species"
2008,"REDLIP PARROTFISH",5240,"PARROTFISHES","All Species"
2009,"REDLIP PARROTFISH",2194,"PARROTFISHES","All Species"
2010,"REDLIP PARROTFISH",802,"PARROTFISHES","All Species"
2011,"REDLIP PARROTFISH",1604,"PARROTFISHES","All Species"
2012,"REDLIP PARROTFISH",660,"PARROTFISHES","All Species"
2013,"REDLIP PARROTFISH",4310,"PARROTFISHES","All Species"
2014,"REDLIP PARROTFISH",3712,"PARROTFISHES","All Species"
2015,"REDLIP PARROTFISH",8259,"PARROTFISHES","All Species"
2016,"REDLIP PARROTFISH",5993,"PARROTFISHES","All Species"
