"Year","NMFS.Name","Pounds","Dollars"
1990,"SHARKS, CHONDRICHTHYES (CLASS) **",241000,140000
1991,"SAILFISH",18000,16000
1991,"TUNAS **",86000,73000
1991,"SWORDFISH",8710000,18727000
1991,"TUNA, BIGEYE",3400000,12750000
1991,"BILLFISHES **",3015000,2779000
1991,"CRUSTACEANS **",18000,90000
1991,"SPEARFISHES **",259000,233000
1991,"TUNA, ALBACORE",699000,909000
1991,"TUNA, SKIPJACK",2579000,3006000
1991,"SEA BASS, GIANT",119000,382000
1991,"TUNA, YELLOWFIN",1743000,4794000
1991,"VERTEBRATES, JAWED",5838000,9268000
1991,"TUNA, BLUEFIN PACIFIC",5000,35000
1991,"LOBSTER, CARIBBEAN SPINY",193000,1084000
1991,"SNAPPERS, LUTJANIDAE (FAMILY) **",705000,3405000
1991,"SHARKS, CHONDRICHTHYES (CLASS) **",275000,151000
1992,"CORALS **",2000,40000
1992,"SWORDFISH",10883000,31670000
1992,"SNAPPER, RED",143000,694000
1992,"TUNA, BIGEYE",3900000,14118000
1992,"BILLFISHES **",2650000,3174000
1992,"CRUSTACEANS **",205000,848000
1992,"TUNA, ALBACORE",925000,1036000
1992,"TUNA, SKIPJACK",1987000,2782000
1992,"SEA BASS, GIANT",81000,225000
1992,"TUNA, YELLOWFIN",2689000,6185000
1992,"VERTEBRATES, JAWED",2982000,5586000
1992,"SHRIMPS, PENAEID **",3000,12000
1992,"SQUIDS, LOLIGINIDAE **",21000,45000
1992,"LOBSTER, CARIBBEAN SPINY",323000,1680000
1992,"SNAPPERS, LUTJANIDAE (FAMILY) **",625000,1650000
1992,"SHARKS, CHONDRICHTHYES (CLASS) **",474000,474000
1993,"CORALS **",1000,17000
1993,"SWORDFISH",13486000,26893000
1993,"SNAPPER, RED",183000,880000
1993,"TUNA, BIGEYE",4200000,14430000
1993,"BILLFISHES **",2918000,3046000
1993,"CRUSTACEANS **",1151000,2022000
1993,"TUNA, ALBACORE",1204000,1434000
1993,"TUNA, SKIPJACK",2396000,2808000
1993,"SEA BASS, GIANT",154000,435000
1993,"TUNA, YELLOWFIN",3710000,8184000
1993,"VERTEBRATES, JAWED",1893000,3374000
1993,"SHRIMPS, PENAEID **",32000,163000
1993,"SQUIDS, LOLIGINIDAE **",2000,5000
1993,"LOBSTER, CARIBBEAN SPINY",3000,22000
1993,"SNAPPERS, LUTJANIDAE (FAMILY) **",644000,2453000
1993,"SHARKS, CHONDRICHTHYES (CLASS) **",2605000,2916000
1994,"SAILFISH",1000,1000
1994,"TUNAS **",23000,32000
1994,"CORALS **",4000,77000
1994,"SWORDFISH",7418000,16923000
1994,"SNAPPER, RED",420000,1837000
1994,"TUNA, BIGEYE",4651000,18146000
1994,"BILLFISHES **",2147000,2767000
1994,"CRUSTACEANS **",1e+05,370000
1994,"SPEARFISHES **",164000,159000
