"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"RBC",939.84339064,805.12645675,905.37037052,1155.29976639,524.35277972,237.68240188,793.7866475,7422.3814261135,20177.557627843,24090.018615278,13388.005596735,14776.179685883,10547.655535032,12091.41180709,16430.612496221,21544.594312549,20441.049435576,15704.27503414,13053.209068438,23752.591251235,28775.355641956,18632.21378249,11321.121244356
"RBP",19.05087954,10.88621688,10.43262451,8.16466266,0,9.52543977,81.6466266,42.410886595,116.663957564,5.352389966,7.89250723799999,8.98112892599999,8.119303423,7.121400209,46.175703266,13.15417873,11.067653828,14.651033551,11.158372302,6.985322498,14.06136347,3.674098197,5.44310844
"RBR",3557.52495791,4645.69305354,2710.21441075,5821.40447658,5763.34465322,4074.16666734,4718.26783274,9722.979247135,9000.89874944645,8607.94600941083,8977.04659467,15959.239305317,12325.601547721,9011.383537079,5311.294497278,13080.515329112,9416.260086541,8691.328760807,7911.195243644,6315.502645221,7775.888639673,3595.082406146,2283.882942187
"RGR",19723.10343234,21436.7754062,20735.52160218,19026.38555202,20397.14169416,14574.37644047,25668.33862593,19711.718263853,20588.4590032325,13958.767355797,17584.052533894,10763.656221626,12605.377321537,11777.843401709,10708.000437827,13770.429323882,11639.724525044,7947.981584851,10630.163987135,12222.363924309,8234.51588498,8449.881542256,9024.900589705
"ROF",195.49831147,152.40703632,174.63306245,122.4699399,566.08327776,117.02683146,203.66297413,246.073860725,86.273268774,119.895983197222,56.064016932,151.681288528,44.860285393,43.635585994,50.439471544,65.725534413,23.632162477,40.052206271,84.413540057,51.301297047,12.564508649,12.473790175,3.764816671
"RPA",3877.76117113,4258.77876193,4023.3643219,4202.98690042,3297.16293753,3396.95325893,4655.67208568,3996.647731307,6402.229506365,4575.431595427,4909.547735169,4660.570883276,5934.031462051,4298.150579646,3285.82312828,2844.840626166,5047.938767256,3015.708871945,3520.421102044,6992.534616683,3329.912306644,2035.813275034,2523.606509732
"RLP",5144.19106817,4874.75720039,3556.61777317,3615.58478127,4855.70632085,5644.95704465,8014.06999316,5809.248201064,6941.868348954,5446.465023538,6239.389845535,6756.439788098,4046.134658874,5711.63512304,8512.431930079,8400.848207059,7371.78319724,7637.044015216,5708.822850346,8434.958353283,6837.859618513,5390.673162028,5988.553264925
"RSP",923.06047295,617.79280794,632.30776378,568.80483198,293.02067102,138.79926522,608.72096054,240.85754847,275.239850116,232.874322758,291.251660777,232.057856492,110.721897517,360.15234178,450.281145699,666.191113819,395.804702062,410.773250272,547.304553642,242.354403291,153.541017245,102.05828325,165.606574287
"MBC",31716.53928751,25363.52455329,30311.76371762,34822.2862449,28313.68932777,17371.22699389,22305.40479475,16069.734406649,16832.8884494283,16022.152567036,14467.374000387,9142.199576587,8139.397564991,11907.480101055,11695.697823502,14564.714922989,19647.444225024,12798.199438024,12544.641303194,9050.392480899,9277.097947425,10636.695717263,10475.942581335
"MBP",15.42214058,7.71107029,5.44310844,0,8.16466266,47.17360648,27.66913457,4.08233133,1.81436948,1.950447191,7.756429527,0,0,23.269288581,0,62.368950875,9.52543977,0.90718474,2.041165665,0.861825503,12.020197805,8.708973504,0
"MPL",5362.82259051,5064.81240342,4612.58081053,2043.88721922,2058.85576743,1769.46383537,3504.00105825,3192.83669243,2454.38831407,988.513851941,5549.067617632,1401.917937959,606.180843268,918.97814162,712.638972507,2144.630084597,746.386244835,1169.724003756,1445.689601664,914.578295631,1029.473242952,1312.015930225,877.655876713
"SBC",293.47426339,673.58466945,650.90505095,536.14618134,433.18071335,487.61179775,357.43078756,245.84706454,173.181566866,3143.213687152,921.881132788,466.383674834,176.9010243,113.987762581,86.001113352,354.754592577,99.019214371,102.05828325,132.675768225,182.979162058,764.167065739,346.816726102,158.530533315
"SPL",16.78291769,8.16466266,11.79340162,9.52543977,0.45359237,8.61825503,34.01942775,22.6796185,14.51495584,0.226796185,21.092045205,5.44310844,4.490564463,21.137404442,28.984552443,7.302837157,5.216312255,2.902991168,3.039068879,6.032778521,1.270058636,2.540117272,0.226796185
"BFB",18.1436948,0,0,0,0.90718474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFW",0,0,0.90718474,0,0,0,0,0,0,0,0,0,0,0,34.47302012,0,1.133980925,0,0,0,0,0,0
"RCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BD",0,0,0,0,0,0,0.45359237,0,0,0,0,0,38.10175908,0,0,0,0,0,0,0,0,0,0
