"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"UKU",12666.56693225,9148.1008133207,11909.5439463385,9987.4417425398,13506.8513335987,13871.30826697,7872.09558135,5334.745222807,7699.367606854,11240.744676392,10040.5075139061,11533.1439258651,15311.962993327,14704.376013712,11552.861586189,23274.867767151,17370.501246098,16368.198186109,18466.607208203,20863.661446705,22502.173164856,26740.132037003,24544.971762388
"RBC",278.95930755,102.05828325,155.12859054,103.87265273,60.78137758,154.2214058,134.26334152,224.709660098,305.5625000505,292.793874835,365.504731746,250.609784425,346.771366865,516.823146378,973.772099916,751.783994038,612.168262552,757.4992579,1105.40460569,1126.496650895,955.673764353,1174.214568219,1348.484756773
"RBP",13.6077711,0,13.15417873,0,1.36077711,2.26796185,4.98951607,4.309127515,2.72155422,12.110916279,5.624545388,3.62873896,0.90718474,7.25747792,11.294450013,24.176473321,7.25747792,24.811502639,35.697719519,66.67807839,51.029141625,27.2155422,41.957294225
"RBR",50.34875307,134.26334152,131.08819493,13.6077711,9.0718474,48.08079122,11.33980925,71.21400209,32.386495218,60.055629788,61.68856232,31.842184374,22.316744604,37.557448236,47.037528769,95.617271596,65.090505095,51.119860099,38.646069924,35.879156467,9.434721296,25.627968905,32.159699033
"RGR",117.48042383,79.83225712,74.38914868,60.78137758,58.51341573,87.08973504,8.61825503,26.988746015,54.197808324,81.19303423,113.85168487,15.966451424,81.147674993,50.666267729,37.330652051,136.032351763,298.146264801,201.576449228,171.412556623,294.789681263,195.49831147,172.138304415,255.690018969
"ROF",177.35461667,39.46253619,41.73049804,103.87265273,0.45359237,6.80388555,19.05087954,296.785487691,685.695585729,564.359626754,388.002913298,628.406869398,351.806242172,572.388211703,541.407852832,754.233392836,472.779327251,326.087554793,314.657027069,445.200911155,343.596220275,580.507515126,613.801195084
"RPA",0,0,0,12.24699399,0,0,0,4.762719885,8.16466266,3.62873896,33.792631565,2.72155422,40.596517115,0,4.672001411,21.545637575,79.37866475,136.667381081,22.815696211,5.89670081,80.512645675,161.796398379,61.461766135
"RLP",290.75270917,390.99662294,308.4428116,323.86495218,541.58928978,246.75424928,263.99075934,160.662417454,182.480210451,211.600840605,147.961831094,72.211905304,187.469726521,168.192050796,241.084344655,1120.484490209,797.41538646,430.368440656,505.30190018,288.257951135,293.247467205,238.952460516,68.311010922
"RSP",8.61825503,6.80388555,14.06136347,9.97903214,5.44310844,11.33980925,15.87573295,43.54486752,1.81436948,150.048355996,4.762719885,15.195344395,0,9.480080533,8.16466266,0.771107029,7.25747792,29.211348628,45.359237,5.89670081,9.207925111,4.5359237,2.26796185
"MBC",7445.71875355,4531.3877763,4833.02670235,3930.604682235,4023.81791427,2909.34146118,2484.77900286,1849.96892117217,2725.21282967705,2362.2327266831,2244.737920656,2647.210430557,2701.369359535,2970.57643113,3597.04281024268,4747.84537423256,3677.75348770849,4384.696003842,4863.145235718,4775.556549071,3631.06740083267,4540.00603133,4914.310455054
"MBP",957.53349307,1029.019650582,1168.00035275,976.13078024,687.7049999281,890.175026125,654.08019754,581.414699866,757.95285027,614.254787454,652.946216615,420.344049279,359.290516277,427.117695337667,683.246186931,444.792678022,417.032824978,591.303013532,502.217472064,417.75857277,444.384444889,475.773036893,358.156535352
"MPL",1801.21530127,1100.41508962,1104.95101332,426.83042017,186.88005644,309.80358871,414.12983381,1973.1268095,2455.431576521,4419.713334806,3154.190622506,2976.337054229,2507.594699071,5457.578036603,4679.71248129,5233.911638956,3357.581441214,4761.086952468,8299.016719994,8110.821245681,6731.900440881,7160.40915282,8517.965756993
"SBC",899.47366971,1183.42249333,1208.37007368,1278.22329866,980.21311157,905.37037052,2187.67600051,1149.221628632,1701.016746737,1783.42254372468,4732.9370099858,3901.529411318,1651.348382222,16952.924110276,14942.602726436,19667.402289304,5022.582953773,4874.394326494,19263.206128397,19295.9363988849,14258.005311708,15602.080673179,12309.771174008
"SPL",0.90718474,0,54.4310844,240.85754847,9.52543977,18.59728717,31.7514659,40.36972093,297.284439298,48.98797596,51.346656284,60.736018343,66.043049072,51.936326365,48.398305879,157.532630101,72.484060726,167.148788345,268.299886855,226.206514919,197.902351031,118.251530859,200.397109066
"BFB",15441.19145954,14662.9902458732,15504.2725504359,14488.8153117169,11994.3294321389,19183.0291410758,13357.4652224629,9786.0467302598,8880.7761500612,10906.0660821112,11983.8469124682,9532.6791042252,8732.696384951,10150.263259675,16656.81901114,14078.101028453,11114.691356769,14581.225685257,16672.014355535,14575.782576817,16375.13814937,13972.051132347,12062.880847017
"BFW",90545.20171466,87160.4727701015,88911.5797222576,84088.1283548383,81187.9630673034,96185.8587036424,65849.7688272193,71064.9743168365,74058.5433452018,70759.3846012438,65186.4126657128,55913.4469447785,56184.8720830628,63752.906555107,92915.584721806,75825.811793501,58691.768249884,68949.260745827,82983.045799731,100984.131158603,78269.17781298,69943.625939341,87919.536921678
"RCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2155422,0,0,0,0,0,0
