"Sector","Year","fit","se.fit","inc.trend"
"Combined",2001.4869739479,71.5108683407441,5.67897170982878,NA
"Combined",2001.52705410822,71.4260607479806,5.66945839634529,NA
"Combined",2001.56713426854,71.3416169499911,5.66027945236893,NA
"Combined",2001.60721442886,71.2575398324609,5.65143394158989,NA
"Combined",2001.64729458918,71.1738322810753,5.64292047269936,NA
"Combined",2001.6873747495,71.0904971815179,5.63473709573065,NA
"Combined",2001.72745490982,71.0075374194742,5.62688120848833,NA
"Combined",2001.76753507014,70.9249558806293,5.61934947327943,NA
"Combined",2001.80761523046,70.842755450667,5.61213774414376,NA
"Combined",2001.84769539078,70.7609390152726,5.60524100475867,NA
"Combined",2001.8877755511,70.6795094601312,5.59865331717157,NA
"Combined",2001.92785571142,70.5984696709267,5.59236778149105,NA
