"Year","NMFS.Name","Pounds","Dollars","nominal_revenue"
1990,"SWORDFISH ",3518000,13896872.5465175,7882000
1990,"TUNA, ALBACORE ",476000,1258864.12055487,714000
1990,"TUNA, BIGEYE ",3689000,23415930.5113295,13281000
1990,"TUNA, SKIPJACK ",2141000,7662497.85424577,4346000
1990,"TUNA, YELLOWFIN ",7880000,34733365.7912199,19700000
1990,"TUNAS **",16000,89918.8657539195,51000
1990,"VERTEBRATES, JAWED",3072000,8547581.5916667,4848000
1991,"BILLFISHES **",3015000,4739690.27715003,2779000
1991,"CRUSTACEANS **",18000,153498.425672365,90000
1991,"LOBSTER, CARIBBEAN SPINY ",193000,1848803.26032049,1084000
1991,"SAILFISH ",18000,27288.6090084205,16000
1991,"SEA BASS, GIANT ",119000,651515.540076039,382000
1991,"SHARKS, CHONDRICHTHYES (CLASS) **",275000,257536.247516968,151000
1991,"SNAPPERS, LUTJANIDAE (FAMILY) **",705000,5807357.10460448,3405000
1991,"SPEARFISHES **",259000,397390.368685123,233000
1991,"SWORDFISH ",8710000,31939611.3062931,18727000
1991,"TUNA, ALBACORE ",699000,1550334.09929089,909000
1991,"TUNA, BIGEYE ",3400000,21745610.3035851,12750000
1991,"TUNA, BLUEFIN PACIFIC ",5000,59693.8322059198,35000
1991,"TUNA, SKIPJACK ",2579000,5126847.417457,3006000
1991,"TUNA, YELLOWFIN ",1743000,8176349.47414798,4794000
1991,"TUNAS **",86000,124504.278600918,73000
1991,"VERTEBRATES, JAWED",5838000,15806926.7681276,9268000
1992,"BILLFISHES **",2650000,5292919.25475065,3174000
1992,"CORALS **",2000,66703.4562665488,40000
1992,"CRUSTACEANS **",205000,1414113.27285084,848000
1992,"LOBSTER, CARIBBEAN SPINY ",323000,2801545.16319505,1680000
1992,"SEA BASS, GIANT ",81000,375206.941499337,225000
1992,"SHARKS, CHONDRICHTHYES (CLASS) **",474000,790435.956758604,474000
1992,"SHRIMPS, PENAEID **",3000,20011.0368799646,12000
1992,"SNAPPER, RED ",143000,1157304.96622462,694000
1992,"SNAPPERS, LUTJANIDAE (FAMILY) **",625000,2751517.57099514,1650000
1992,"SQUIDS, LOLIGINIDAE **",21000,75041.3882998674,45000
1992,"SWORDFISH ",10883000,52812461.49904,31670000
1992,"TUNA, ALBACORE ",925000,1727619.51730361,1036000
1992,"TUNA, BIGEYE ",3900000,23542984.8892784,14118000
1992,"TUNA, SKIPJACK ",1987000,4639225.38333847,2782000
1992,"TUNA, YELLOWFIN ",2689000,10314021.9252151,6185000
1992,"VERTEBRATES, JAWED",2982000,9315137.66762354,5586000
1993,"BILLFISHES **",2918000,4961798.25512851,3046000
1993,"CORALS **",1000,27692.2423956614,17000
1993,"CRUSTACEANS **",1151000,3293747.88964867,2022000
1993,"LOBSTER, CARIBBEAN SPINY ",3000,35837.0195708559,22000
1993,"SEA BASS, GIANT ",154000,708595.614241924,435000
1993,"SHARKS, CHONDRICHTHYES (CLASS) **",2605000,4750034.04857345,2916000
1993,"SHRIMPS, PENAEID **",32000,265519.735911342,163000
1993,"SNAPPER, RED ",183000,1433480.78283424,880000
1993,"SNAPPERS, LUTJANIDAE (FAMILY) **",644000,3995827.68215044,2453000
1993,"SQUIDS, LOLIGINIDAE **",2000,8144.77717519453,5000
1993,"SWORDFISH ",13486000,43807498.5145013,26893000
1993,"TUNA, ALBACORE ",1204000,2335922.09384579,1434000
1993,"TUNA, BIGEYE ",4200000,23505826.9276114,14430000
1993,"TUNA, SKIPJACK ",2396000,4574106.86158925,2808000
1993,"TUNA, YELLOWFIN ",3710000,13331371.2803584,8184000
1993,"VERTEBRATES, JAWED",1893000,5496095.63782127,3374000
1994,"BILLFISHES **",2147000,4413138.37072187,2767000
1994,"CORALS **",4000,122808.693366673,77000
1994,"CRUSTACEANS **",1e+05,590119.695398298,370000
1994,"LOBSTER, CARIBBEAN SPINY ",114000,1081354.46886499,678000
1994,"SAILFISH ",1000,1594.91809567108,1000
1994,"SHARKS, CHONDRICHTHYES (CLASS) **",1803000,612448.548737693,384000
1994,"SHRIMPS, PENAEID **",63000,519943.299188771,326000
1994,"SNAPPER, RED ",420000,2929864.54174777,1837000
1994,"SNAPPERS, LUTJANIDAE (FAMILY) **",117000,542272.152528166,340000
1994,"SPEARFISHES **",164000,253591.977211701,159000
1994,"SWORDFISH ",7418000,26990798.9330416,16923000
1994,"TUNA, ALBACORE ",1415000,2864472.89982525,1796000
1994,"TUNA, BIGEYE ",4651000,28941383.7640473,18146000
1994,"TUNA, BLUEFIN PACIFIC ",94000,1768764.16809922,1109000
1994,"TUNA, SKIPJACK ",1310000,3282341.44089107,2058000
1994,"TUNA, YELLOWFIN ",3732000,14760966.9754358,9255000
1994,"TUNAS **",23000,51037.3790614744,32000
1994,"VERTEBRATES, JAWED",3514000,9877327.76649097,6193000
1995,"BILLFISHES **",3015000,4561411.82364032,2920000
1995,"CORALS **",6000,192141.662434164,123000
1995,"CRUSTACEANS **",56000,337419.504762435,216000
1995,"LOBSTER, CARIBBEAN SPINY ",45000,428022.890300496,274000
1995,"SAILFISH ",46000,56236.5841270725,36000
1995,"SHARKS, CHONDRICHTHYES (CLASS) **",2575000,1409038.85785054,902000
1995,"SHRIMPS, PENAEID **",53000,420212.253616181,269000
1995,"SNAPPER, RED ",533000,3275781.02540197,2097000
1995,"SNAPPERS, LUTJANIDAE (FAMILY) **",221000,959146.184833959,614000
1995,"SPEARFISHES **",310000,374910.56084715,240000
1995,"SWORDFISH ",5882000,20140507.7541763,12893000
1995,"TUNA, ALBACORE ",2257000,4113081.27796061,2633000
1995,"TUNA, BIGEYE ",4746000,25103386.3033904,16070000
1995,"TUNA, BLUEFIN PACIFIC ",50000,1702718.79718081,1090000
1995,"TUNA, SKIPJACK ",1603000,3046148.30688309,1950000
1995,"TUNA, YELLOWFIN ",4541000,16691330.5943825,10685000
1995,"TUNAS **",12000,21869.7827160837,14000
1995,"VERTEBRATES, JAWED",3941000,10655270.5647434,6821000
1996,"BILLFISHES **",2806000,3804473.53587253,2480000
1996,"CORALS **",1000,41419.6715599026,27000
1996,"CRUSTACEANS **",72000,423401.087056782,276000
1996,"LOBSTER, CARIBBEAN SPINY ",212000,2293422.5548909,1495000
1996,"SHARKS, CHONDRICHTHYES (CLASS) **",4472000,1612299.06701695,1051000
1996,"SHRIMPS, PENAEID **",32000,245449.905540163,160000
1996,"SNAPPER, RED ",473000,3204655.32920876,2089000
1996,"SNAPPERS, LUTJANIDAE (FAMILY) **",173000,730213.468981986,476000
1996,"SPEARFISHES **",210000,352834.239213985,230000
1996,"SWORDFISH ",5871000,21275904.6246033,13869000
1996,"TUNA, ALBACORE ",2951000,4637469.15279946,3023000
1996,"TUNA, BIGEYE ",5233000,30693510.6877974,20008000
1996,"TUNA, BLUEFIN PACIFIC ",60000,1595424.38601106,1040000
1996,"TUNA, SKIPJACK ",2192000,4479460.77610798,2920000
1996,"TUNA, YELLOWFIN ",3674000,13660821.3052197,8905000
1996,"TUNAS **",9000,19942.8048251383,13000
1996,"VERTEBRATES, JAWED",3429000,9551069.44933161,6226000
1997,"CORALS **",2000,61829.8401098846,41000
1997,"CRUSTACEANS **",78000,446381.284695752,296000
1997,"LOBSTER, CARIBBEAN SPINY ",197000,1869975.65210383,1240000
1997,"SHARKS, CHONDRICHTHYES (CLASS) **",5012000,3017597.80633851,2001000
1997,"SHRIMPS, PENAEOID **",34000,256367.629723912,170000
1997,"SNAPPER, RED ",413000,2899970.30564166,1923000
1997,"SNAPPERS, LUTJANIDAE (FAMILY) **",89000,390583.624108783,259000
1997,"SPEARFISHES **",220000,286528.52733849,190000
1997,"SWORDFISH ",6361000,21203111.0230482,14060000
1997,"TUNA, ALBACORE ",4083000,7363783.15259918,4883000
1997,"TUNA, BIGEYE ",5778000,27028688.3973039,17923000
1997,"TUNA, BLUEFIN PACIFIC ",50000,1176275.00696854,780000
1997,"TUNA, SKIPJACK ",2472000,4812171.2144059,3191000
1997,"TUNA, YELLOWFIN ",4810000,17757228.4705827,11775000
1997,"TUNAS **",9000,19604.5834494756,13000
1997,"VERTEBRATES, JAWED",6960000,15002030.473491,9948000
1998,"CORALS **",30,2684.28152512146,1800
1998,"CRUSTACEANS **",187000,1127398.24055102,756000
1998,"LOBSTER, CARIBBEAN SPINY ",126000,1312315.4122816,880000
1998,"SHARKS, CHONDRICHTHYES (CLASS) **",6222000,2296551.97149281,1540000
1998,"SHRIMPS, PENAEOID **",146000,948446.138876251,636000
1998,"SNAPPER, RED ",346000,2281639.29635325,1530000
1998,"SNAPPERS, LUTJANIDAE (FAMILY) **",120000,501065.88468934,336000
1998,"SPEARFISHES **",296000,259480.547428408,174000
1998,"SWORDFISH ",7202000,17837050.7344321,11961000
1998,"TUNA, ALBACORE ",3003000,5329790.09488006,3574000
1998,"TUNA, BIGEYE ",7407000,32026461.129727,21476000
1998,"TUNA, BLUEFIN PACIFIC ",36000,377290.681030961,253000
1998,"TUNA, SKIPJACK ",1084000,2092248.32208079,1403000
1998,"TUNA, YELLOWFIN ",3456000,11042835.9408469,7405000
1998,"TUNAS **",1000,4473.80254186911,3000
1998,"VERTEBRATES, JAWED",6794000,15115487.5214618,10136000
