Species,Group,Habitat
YELLOWFIN SURGEONFISH,SURGEONFISHES,Reef
ACHILLES TANG,TANGS,Reef
CONVICT TANG,TANGS,Reef
SAILFIN TANG,TANGS,Reef
YELLOW TANG,TANGS,Reef
HAWAIIAN TENPOUNDER,HAWAIIAN TENPOUNDER,Fishpond
SIX-FINGERED THREADFIN,SIX-FINGERED THREADFIN,Fishpond
BIGEYE TREVALLY,TREVALLY,Reef
BLACK TREVALLY,TREVALLY,Reef
BLUEFIN TREVALLY,TREVALLY,Reef
GIANT TREVALLY,TREVALLY,Reef
GOLDEN TREVALLY,TREVALLY,Reef
WHITEMOUTH TREVALLY,TREVALLY,Reef
PINKTAIL DURGON,TRIGGERFISHES,Reef
BLACK TRIGGERFISH,TRIGGERFISHES,Reef
LAGOON TRIGGERFISH,TRIGGERFISHES,Reef
LEI TRIGGERFISH,TRIGGERFISHES,Reef
REEF TRIGGERFISH,TRIGGERFISHES,Reef
TRIGGERFISH FAMILY,TRIGGERFISHES,Reef
TRUMPETFISH,TRUMPETFISH,Reef
LEATHERBACK,LEATHERBACK TURTLE,Reef
WHITEMARGIN UNICORN FISH,UNICORNFISHES,Reef
UNICORN SURGEONFISH GENUS,UNICORNFISHES,Reef
BLUE SPINE UNICORNFISH,UNICORNFISHES,Reef
ORANGESPINE UNICORNFISH,UNICORNFISHES,Reef
PALETAIL UNICORNFISH,UNICORNFISHES,Reef
SLEEK UNICORNFISH,UNICORNFISHES,Reef
BALDWINS WRASSE,WRASSES,Reef
BIRD WRASSE,WRASSES,Reef
BLACKTAIL WRASSE,WRASSES,Reef
CHRISTMAS WRASSE,WRASSES,Reef
DRAGON WRASSE,WRASSES,Reef
ORNATE WRASSE,WRASSES,Reef
PEARL WRASSE,WRASSES,Reef
PSYCHEDELIC WRASSE,WRASSES,Reef
RINGTAIL WRASSE,WRASSES,Reef
SADDLE WRASSE,WRASSES,Reef
SURGE WRASSE,WRASSES,Reef
WRASSE FAMILY,WRASSES,Reef
CIGAR,WRASSES,Reef
YELLOWSTRIPE CORIS,WRASSES,Reef
YELLOWTAIL CORIS,WRASSES,Reef
