V1,V2,V3
-154.817548746518,22.5,-4474
-154.800835654596,22.5,-4474
-154.784122562674,22.5,-4456
-154.767409470752,22.5,-4456
-154.75069637883,22.5,-4440
-154.733983286908,22.5,-4440
-154.717270194986,22.5,-4431
-154.700557103064,22.5,-4426
-154.683844011142,22.5,-4416
-154.66713091922,22.5,-4410
-154.650417827298,22.5,-4388
-154.633704735376,22.5,-4372
-154.616991643454,22.5,-4370
-154.600278551532,22.5,-4442
-154.58356545961,22.5,-4442
-154.566852367688,22.5,-4473
-154.550139275766,22.5,-4473
-154.533426183844,22.5,-4414
-154.516713091922,22.5,-4414
-154.5,22.5,-4136
-160.5,22.4832635983264,-4493
-160.483286908078,22.4832635983264,-4496
-160.466573816156,22.4832635983264,-4500
-160.449860724234,22.4832635983264,-4502
-160.433147632312,22.4832635983264,-4506
-160.41643454039,22.4832635983264,-4507
-160.399721448468,22.4832635983264,-4508
-160.383008356546,22.4832635983264,-4507
-160.366295264624,22.4832635983264,-4500
-160.349582172702,22.4832635983264,-4500
-160.33286908078,22.4832635983264,-4489
-160.316155988858,22.4832635983264,-4489
-160.299442896936,22.4832635983264,-4469
-160.282729805014,22.4832635983264,-4469
-160.266016713092,22.4832635983264,-4464
-160.24930362117,22.4832635983264,-4464
-160.232590529248,22.4832635983264,-4458
-160.215877437326,22.4832635983264,-4451
-160.199164345404,22.4832635983264,-4445
-160.182451253482,22.4832635983264,-4438
-160.16573816156,22.4832635983264,-4437
-160.149025069638,22.4832635983264,-4445
-160.132311977716,22.4832635983264,-4455
-160.115598885794,22.4832635983264,-4479
-160.098885793872,22.4832635983264,-4479
-160.08217270195,22.4832635983264,-4488
-160.065459610028,22.4832635983264,-4488
-160.048746518106,22.4832635983264,-4475
-160.032033426184,22.4832635983264,-4475
-160.015320334262,22.4832635983264,-4387
-159.99860724234,22.4832635983264,-4387
-159.981894150418,22.4832635983264,-4335
-159.965181058496,22.4832635983264,-4284
-159.948467966574,22.4832635983264,-4247
-159.931754874652,22.4832635983264,-4220
-159.91504178273,22.4832635983264,-4223
-159.898328690808,22.4832635983264,-4097
-159.881615598886,22.4832635983264,-4043
-159.864902506964,22.4832635983264,-3954
-159.848189415042,22.4832635983264,-3954
-159.83147632312,22.4832635983264,-3874
-159.814763231198,22.4832635983264,-3874
-159.798050139276,22.4832635983264,-3797
-159.781337047354,22.4832635983264,-3797
-159.764623955432,22.4832635983264,-3723
-159.74791086351,22.4832635983264,-3723
-159.731197771588,22.4832635983264,-3684
-159.714484679666,22.4832635983264,-3640
-159.697771587744,22.4832635983264,-3585
-159.681058495822,22.4832635983264,-3528
-159.6643454039,22.4832635983264,-3466
-159.647632311978,22.4832635983264,-3415
-159.630919220056,22.4832635983264,-3367
-159.614206128134,22.4832635983264,-3280
-159.597493036212,22.4832635983264,-3280
-159.58077994429,22.4832635983264,-3336
-159.564066852368,22.4832635983264,-3336
-159.547353760446,22.4832635983264,-3262
-159.530640668524,22.4832635983264,-3262
-159.513927576602,22.4832635983264,-2704
-159.49721448468,22.4832635983264,-2704
-159.480501392758,22.4832635983264,-2696
-159.463788300836,22.4832635983264,-2602
-159.447075208914,22.4832635983264,-2418
-159.430362116992,22.4832635983264,-2508
-159.41364902507,22.4832635983264,-2618
-159.396935933148,22.4832635983264,-2658
-159.380222841226,22.4832635983264,-2765
-159.363509749304,22.4832635983264,-3189
-159.346796657382,22.4832635983264,-3189
-159.33008356546,22.4832635983264,-3273
-159.313370473538,22.4832635983264,-3273
-159.296657381616,22.4832635983264,-3344
-159.279944289694,22.4832635983264,-3344
-159.263231197772,22.4832635983264,-3357
-159.24651810585,22.4832635983264,-3357
-159.229805013928,22.4832635983264,-3375
-159.213091922006,22.4832635983264,-3375
-159.196378830084,22.4832635983264,-3376
-159.179665738162,22.4832635983264,-3407
-159.16295264624,22.4832635983264,-3437
-159.146239554318,22.4832635983264,-3466
-159.129526462396,22.4832635983264,-3495
-159.112813370474,22.4832635983264,-3555
-159.096100278552,22.4832635983264,-3555
-159.07938718663,22.4832635983264,-3616
-159.062674094708,22.4832635983264,-3616
-159.045961002786,22.4832635983264,-3737
-159.029247910864,22.4832635983264,-3737
-159.012534818942,22.4832635983264,-3874
-158.995821727019,22.4832635983264,-3874
-158.979108635098,22.4832635983264,-3892
-158.962395543175,22.4832635983264,-3858
-158.945682451253,22.4832635983264,-3889
-158.928969359331,22.4832635983264,-3927
-158.912256267409,22.4832635983264,-3967
-158.895543175487,22.4832635983264,-4008
-158.878830083565,22.4832635983264,-4051
-158.862116991643,22.4832635983264,-4130
-158.845403899721,22.4832635983264,-4130
-158.828690807799,22.4832635983264,-4220
-158.811977715877,22.4832635983264,-4220
-158.795264623955,22.4832635983264,-4358
-158.778551532033,22.4832635983264,-4358
-158.761838440111,22.4832635983264,-4491
-158.745125348189,22.4832635983264,-4491
-158.728412256267,22.4832635983264,-4574
-158.711699164345,22.4832635983264,-4627
-158.694986072423,22.4832635983264,-4675
-158.678272980501,22.4832635983264,-4678
-158.661559888579,22.4832635983264,-4686
-158.644846796657,22.4832635983264,-4693
-158.628133704735,22.4832635983264,-4705
-158.611420612813,22.4832635983264,-4841
-158.594707520891,22.4832635983264,-4841
-158.577994428969,22.4832635983264,-4849
-158.561281337047,22.4832635983264,-4849
-158.544568245125,22.4832635983264,-4887
